# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP2_int/dT2 (e^2)    dP2_int/dT2 (e^3)    
3.098933E+01        -1.834952E+01        1.634264E+00        
3.096150E+01        -1.831656E+01        1.631329E+00        
3.093368E+01        -1.828366E+01        1.628399E+00        
3.090589E+01        -1.825083E+01        1.625475E+00        
3.087813E+01        -1.821805E+01        1.622556E+00        
3.085039E+01        -1.818533E+01        1.619642E+00        
3.082268E+01        -1.815267E+01        1.616733E+00        
3.079499E+01        -1.812006E+01        1.613830E+00        
3.076733E+01        -1.808752E+01        1.610932E+00        
3.073969E+01        -1.805504E+01        1.608039E+00        
3.071207E+01        -1.802261E+01        1.605151E+00        
3.068448E+01        -1.799024E+01        1.602268E+00        
3.065692E+01        -1.795793E+01        1.599391E+00        
3.062938E+01        -1.792568E+01        1.596519E+00        
3.060187E+01        -1.789348E+01        1.593652E+00        
3.057438E+01        -1.786134E+01        1.590790E+00        
3.054691E+01        -1.782927E+01        1.587933E+00        
3.051947E+01        -1.779724E+01        1.585081E+00        
3.049205E+01        -1.776528E+01        1.582235E+00        
3.046466E+01        -1.773337E+01        1.579393E+00        
3.043730E+01        -1.770152E+01        1.576557E+00        
3.040995E+01        -1.766973E+01        1.573726E+00        
3.038264E+01        -1.763800E+01        1.570899E+00        
3.035534E+01        -1.760632E+01        1.568078E+00        
3.032807E+01        -1.757470E+01        1.565262E+00        
3.030083E+01        -1.754313E+01        1.562451E+00        
3.027361E+01        -1.751162E+01        1.559645E+00        
3.024641E+01        -1.748017E+01        1.556845E+00        
3.021924E+01        -1.744878E+01        1.554049E+00        
3.019210E+01        -1.741744E+01        1.551258E+00        
3.016497E+01        -1.738616E+01        1.548472E+00        
3.013788E+01        -1.735493E+01        1.545691E+00        
3.011080E+01        -1.732376E+01        1.542915E+00        
3.008375E+01        -1.729265E+01        1.540145E+00        
3.005673E+01        -1.726159E+01        1.537379E+00        
3.002973E+01        -1.723059E+01        1.534618E+00        
3.000275E+01        -1.719964E+01        1.531862E+00        
2.997580E+01        -1.716875E+01        1.529111E+00        
2.994887E+01        -1.713792E+01        1.526365E+00        
2.992197E+01        -1.710714E+01        1.523624E+00        
2.989509E+01        -1.707641E+01        1.520888E+00        
2.986824E+01        -1.704574E+01        1.518156E+00        
2.984140E+01        -1.701513E+01        1.515430E+00        
2.981460E+01        -1.698457E+01        1.512708E+00        
2.978781E+01        -1.695406E+01        1.509992E+00        
2.976106E+01        -1.692361E+01        1.507280E+00        
2.973432E+01        -1.689322E+01        1.504573E+00        
2.970761E+01        -1.686288E+01        1.501871E+00        
2.968092E+01        -1.683259E+01        1.499174E+00        
2.965426E+01        -1.680236E+01        1.496482E+00        
2.962762E+01        -1.677218E+01        1.493794E+00        
2.960101E+01        -1.674206E+01        1.491112E+00        
2.957442E+01        -1.671199E+01        1.488434E+00        
2.954785E+01        -1.668197E+01        1.485761E+00        
2.952130E+01        -1.665201E+01        1.483093E+00        
2.949479E+01        -1.662211E+01        1.480429E+00        
2.946829E+01        -1.659225E+01        1.477771E+00        
2.944182E+01        -1.656245E+01        1.475117E+00        
2.941537E+01        -1.653271E+01        1.472468E+00        
2.938895E+01        -1.650301E+01        1.469824E+00        
2.936255E+01        -1.647337E+01        1.467184E+00        
2.933617E+01        -1.644379E+01        1.464549E+00        
2.930982E+01        -1.641425E+01        1.461919E+00        
2.928349E+01        -1.638477E+01        1.459294E+00        
2.925718E+01        -1.635534E+01        1.456673E+00        
2.923090E+01        -1.632597E+01        1.454057E+00        
2.920464E+01        -1.629665E+01        1.451446E+00        
2.917840E+01        -1.626738E+01        1.448839E+00        
2.915219E+01        -1.623816E+01        1.446237E+00        
2.912600E+01        -1.620900E+01        1.443640E+00        
2.909984E+01        -1.617989E+01        1.441048E+00        
2.907370E+01        -1.615083E+01        1.438460E+00        
2.904758E+01        -1.612182E+01        1.435876E+00        
2.902149E+01        -1.609286E+01        1.433298E+00        
2.899542E+01        -1.606396E+01        1.430724E+00        
2.896937E+01        -1.603511E+01        1.428154E+00        
2.894335E+01        -1.600631E+01        1.425590E+00        
2.891735E+01        -1.597756E+01        1.423030E+00        
2.889137E+01        -1.594887E+01        1.420474E+00        
2.886542E+01        -1.592022E+01        1.417923E+00        
2.883949E+01        -1.589163E+01        1.415377E+00        
2.881358E+01        -1.586309E+01        1.412835E+00        
2.878770E+01        -1.583459E+01        1.410298E+00        
2.876183E+01        -1.580616E+01        1.407765E+00        
2.873600E+01        -1.577777E+01        1.405237E+00        
2.871018E+01        -1.574943E+01        1.402713E+00        
2.868439E+01        -1.572114E+01        1.400194E+00        
2.865863E+01        -1.569291E+01        1.397680E+00        
2.863288E+01        -1.566472E+01        1.395170E+00        
2.860716E+01        -1.563659E+01        1.392664E+00        
2.858146E+01        -1.560850E+01        1.390163E+00        
2.855579E+01        -1.558047E+01        1.387667E+00        
2.853013E+01        -1.555249E+01        1.385175E+00        
2.850450E+01        -1.552455E+01        1.382687E+00        
2.847890E+01        -1.549667E+01        1.380204E+00        
2.845332E+01        -1.546884E+01        1.377725E+00        
2.842776E+01        -1.544106E+01        1.375251E+00        
2.840222E+01        -1.541332E+01        1.372781E+00        
2.837670E+01        -1.538564E+01        1.370316E+00        
2.835121E+01        -1.535801E+01        1.367855E+00        
2.832574E+01        -1.533042E+01        1.365399E+00        
2.830030E+01        -1.530289E+01        1.362947E+00        
2.827488E+01        -1.527541E+01        1.360499E+00        
2.824948E+01        -1.524797E+01        1.358056E+00        
2.822410E+01        -1.522058E+01        1.355617E+00        
2.819875E+01        -1.519325E+01        1.353182E+00        
2.817341E+01        -1.516596E+01        1.350752E+00        
2.814811E+01        -1.513872E+01        1.348327E+00        
2.812282E+01        -1.511153E+01        1.345905E+00        
2.809756E+01        -1.508439E+01        1.343488E+00        
2.807232E+01        -1.505730E+01        1.341075E+00        
2.804710E+01        -1.503025E+01        1.338667E+00        
2.802190E+01        -1.500326E+01        1.336263E+00        
2.799673E+01        -1.497631E+01        1.333863E+00        
2.797158E+01        -1.494941E+01        1.331468E+00        
2.794645E+01        -1.492256E+01        1.329077E+00        
2.792135E+01        -1.489576E+01        1.326690E+00        
2.789627E+01        -1.486901E+01        1.324307E+00        
2.787121E+01        -1.484230E+01        1.321929E+00        
2.784617E+01        -1.481565E+01        1.319555E+00        
2.782116E+01        -1.478904E+01        1.317185E+00        
2.779616E+01        -1.476248E+01        1.314820E+00        
2.777119E+01        -1.473596E+01        1.312459E+00        
2.774625E+01        -1.470949E+01        1.310102E+00        
2.772132E+01        -1.468308E+01        1.307749E+00        
2.769642E+01        -1.465670E+01        1.305401E+00        
2.767154E+01        -1.463038E+01        1.303056E+00        
2.764668E+01        -1.460410E+01        1.300716E+00        
2.762184E+01        -1.457787E+01        1.298380E+00        
2.759703E+01        -1.455169E+01        1.296049E+00        
2.757224E+01        -1.452556E+01        1.293721E+00        
2.754747E+01        -1.449947E+01        1.291398E+00        
2.752273E+01        -1.447342E+01        1.289079E+00        
2.749800E+01        -1.444743E+01        1.286764E+00        
2.747330E+01        -1.442148E+01        1.284453E+00        
2.744862E+01        -1.439558E+01        1.282146E+00        
2.742396E+01        -1.436972E+01        1.279844E+00        
2.739933E+01        -1.434392E+01        1.277545E+00        
2.737471E+01        -1.431815E+01        1.275251E+00        
2.735012E+01        -1.429244E+01        1.272961E+00        
2.732555E+01        -1.426677E+01        1.270675E+00        
2.730101E+01        -1.424114E+01        1.268393E+00        
2.727648E+01        -1.421556E+01        1.266115E+00        
2.725198E+01        -1.419003E+01        1.263841E+00        
2.722750E+01        -1.416455E+01        1.261571E+00        
2.720304E+01        -1.413911E+01        1.259306E+00        
2.717860E+01        -1.411371E+01        1.257044E+00        
2.715419E+01        -1.408836E+01        1.254787E+00        
2.712979E+01        -1.406306E+01        1.252533E+00        
2.710542E+01        -1.403780E+01        1.250284E+00        
2.708107E+01        -1.401259E+01        1.248039E+00        
2.705675E+01        -1.398742E+01        1.245798E+00        
2.703244E+01        -1.396230E+01        1.243560E+00        
2.700816E+01        -1.393722E+01        1.241327E+00        
2.698390E+01        -1.391219E+01        1.239098E+00        
2.695966E+01        -1.388720E+01        1.236873E+00        
2.693544E+01        -1.386226E+01        1.234651E+00        
2.691124E+01        -1.383736E+01        1.232434E+00        
2.688707E+01        -1.381251E+01        1.230221E+00        
2.686291E+01        -1.378770E+01        1.228011E+00        
2.683878E+01        -1.376294E+01        1.225806E+00        
2.681467E+01        -1.373822E+01        1.223605E+00        
2.679058E+01        -1.371354E+01        1.221407E+00        
2.676652E+01        -1.368891E+01        1.219214E+00        
2.674247E+01        -1.366433E+01        1.217024E+00        
2.671845E+01        -1.363979E+01        1.214839E+00        
2.669445E+01        -1.361529E+01        1.212657E+00        
2.667047E+01        -1.359083E+01        1.210479E+00        
2.664651E+01        -1.356642E+01        1.208306E+00        
2.662257E+01        -1.354206E+01        1.206136E+00        
2.659866E+01        -1.351774E+01        1.203970E+00        
2.657476E+01        -1.349346E+01        1.201807E+00        
2.655089E+01        -1.346922E+01        1.199649E+00        
2.652704E+01        -1.344503E+01        1.197495E+00        
2.650321E+01        -1.342088E+01        1.195344E+00        
2.647940E+01        -1.339678E+01        1.193198E+00        
2.645561E+01        -1.337272E+01        1.191055E+00        
