# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
5.6234133E+00  9.9940468E-01
5.7543994E+00  9.9941507E-01
5.8884366E+00  9.9950581E-01
6.0255959E+00  9.9954511E-01
6.1659500E+00  9.9953457E-01
6.3095734E+00  9.9954646E-01
6.4565423E+00  9.9953951E-01
6.6069345E+00  9.9957910E-01
6.7608298E+00  9.9963745E-01
6.9183097E+00  9.9966424E-01
7.0794578E+00  9.9964050E-01
7.2443596E+00  9.9977114E-01
7.4131024E+00  9.9968769E-01
7.5857758E+00  9.9976591E-01
7.7624712E+00  9.9981989E-01
7.9432823E+00  9.9986614E-01
8.1283052E+00  9.9977939E-01
8.3176377E+00  9.9988418E-01
8.5113804E+00  9.9981696E-01
8.7096359E+00  9.9991836E-01
8.9125094E+00  9.9985578E-01
9.1201084E+00  9.9995091E-01
9.3325430E+00  9.9996476E-01
9.5499259E+00  9.9997429E-01
9.7723722E+00  9.9997051E-01
1.0000000E+01  1.0000000E+00
2.0000000E+10  1.0000000E+00
