# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      
3.402549E+01        -2.508632E+02        2.234513E+01        
3.399492E+01        -2.501876E+02        2.228496E+01        
3.396438E+01        -2.495139E+02        2.222496E+01        
3.393387E+01        -2.488420E+02        2.216512E+01        
3.390339E+01        -2.481718E+02        2.210544E+01        
3.387293E+01        -2.475035E+02        2.204592E+01        
3.384251E+01        -2.468370E+02        2.198656E+01        
3.381210E+01        -2.461723E+02        2.192736E+01        
3.378173E+01        -2.455094E+02        2.186831E+01        
3.375138E+01        -2.448483E+02        2.180943E+01        
3.372106E+01        -2.441889E+02        2.175071E+01        
3.369077E+01        -2.435313E+02        2.169214E+01        
3.366051E+01        -2.428755E+02        2.163374E+01        
3.363027E+01        -2.422215E+02        2.157549E+01        
3.360006E+01        -2.415692E+02        2.151739E+01        
3.356988E+01        -2.409187E+02        2.145945E+01        
3.353972E+01        -2.402699E+02        2.140167E+01        
3.350959E+01        -2.396228E+02        2.134405E+01        
3.347949E+01        -2.389776E+02        2.128658E+01        
3.344941E+01        -2.383340E+02        2.122926E+01        
3.341936E+01        -2.376922E+02        2.117210E+01        
3.338934E+01        -2.370521E+02        2.111509E+01        
3.335935E+01        -2.364137E+02        2.105824E+01        
3.332938E+01        -2.357771E+02        2.100154E+01        
3.329944E+01        -2.351422E+02        2.094499E+01        
3.326953E+01        -2.345089E+02        2.088859E+01        
3.323964E+01        -2.338774E+02        2.083235E+01        
3.320978E+01        -2.332476E+02        2.077626E+01        
3.317995E+01        -2.326195E+02        2.072031E+01        
3.315014E+01        -2.319931E+02        2.066452E+01        
3.312036E+01        -2.313683E+02        2.060888E+01        
3.309061E+01        -2.307453E+02        2.055339E+01        
3.306089E+01        -2.301239E+02        2.049805E+01        
3.303119E+01        -2.295042E+02        2.044286E+01        
3.300151E+01        -2.288861E+02        2.038781E+01        
3.297187E+01        -2.282698E+02        2.033292E+01        
3.294225E+01        -2.276550E+02        2.027817E+01        
3.291266E+01        -2.270420E+02        2.022357E+01        
3.288309E+01        -2.264306E+02        2.016912E+01        
3.285355E+01        -2.258208E+02        2.011481E+01        
3.282404E+01        -2.252127E+02        2.006065E+01        
3.279455E+01        -2.246062E+02        2.000663E+01        
3.276509E+01        -2.240013E+02        1.995276E+01        
3.273566E+01        -2.233981E+02        1.989904E+01        
3.270625E+01        -2.227965E+02        1.984546E+01        
