# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
4.5708819E+00  9.9876269E-01
4.6773514E+00  9.9883787E-01
4.7863009E+00  9.9889655E-01
4.8977882E+00  9.9896981E-01
5.0118723E+00  9.9903138E-01
5.1286138E+00  9.9908901E-01
5.2480746E+00  9.9913737E-01
5.3703180E+00  9.9919129E-01
5.4954087E+00  9.9925070E-01
5.6234133E+00  9.9929128E-01
5.7543994E+00  9.9933765E-01
5.8884366E+00  9.9939089E-01
6.0255959E+00  9.9943354E-01
6.1659500E+00  9.9947406E-01
6.3095734E+00  9.9950429E-01
6.4565423E+00  9.9955026E-01
6.6069345E+00  9.9957694E-01
6.7608298E+00  9.9961930E-01
6.9183097E+00  9.9964267E-01
7.0794578E+00  9.9968205E-01
7.2443596E+00  9.9970321E-01
7.4131024E+00  9.9973120E-01
7.5857758E+00  9.9975829E-01
7.7624712E+00  9.9979238E-01
7.9432823E+00  9.9981606E-01
8.1283052E+00  9.9983145E-01
8.3176377E+00  9.9985374E-01
8.5113804E+00  9.9988395E-01
8.7096359E+00  9.9989558E-01
8.9125094E+00  9.9991532E-01
9.1201084E+00  9.9994210E-01
9.3325430E+00  9.9995098E-01
9.5499259E+00  9.9996816E-01
9.7723722E+00  9.9998439E-01
1.0000000E+01  1.0000000E+00
2.0000000E+10  1.0000000E+00
