# BBN prediction of the primordial abundances (Helium-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, $N_{eff} = 3.0440$ because of QED effects and incomplete neurino decoupling (see, e.g., arXiv:2001.04466).
#
# Computation performed with PRyMordial, see arXiv:2307.07061. 
# Latest version of the code at the GitHub repo: https://github.com/vallima/PRyMordial
# Details on the ab-initio computation of neutron freeze out implemented in PRyMordial can be found in arXiv:1801.08023.
# Thermonuclear rates adopted comprise the most recent measurement from LUNA and mainly rely on the NACRE II compilation.
#
# Neutron Decay rate $\tau_n$ follows what recommended in the Particle Data Group 2023.
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty).
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons at the end of BBN, and does not include
# any extra production of He4 by stars after BBN. 
#
# Errors are computed with a Monte Carlo approach where both nuclear rates and neutron life time uncertainties are accounted for.
# For more details, see the Jupiter notebook: https://github.com/vallima/PRyMordial/blob/main/PRyMdemoSM.ipynb
# 
#         ombh2                   eta10                     DeltaN                    Yp                      Yp^BBN                  sig(Yp^BBN)              D/H                      sig(D/H)  
2.900000000000000147e-02 7.938703760928077280e+00 -3.000000000000000000e+00 1.919246800629256511e-01 1.930350750522347170e-01 1.331171666830709708e-04 8.949568852261509483e-06 3.798177991187878266e-07
2.999999999999999889e-02 8.212452166477321569e+00 -3.000000000000000000e+00 1.922299130462614136e-01 1.933416514522188212e-01 1.373048859327590508e-04 8.356344178279229384e-06 3.753132720143210519e-07
3.099999999999999978e-02 8.486200572026564970e+00 -3.000000000000000000e+00 1.925355127404249633e-01 1.936485948496804443e-01 1.337076329833115169e-04 7.812547379520703528e-06 3.745658483131321706e-07
3.200000000000000067e-02 8.759948977575810147e+00 -3.000000000000000000e+00 1.928061783426723019e-01 1.939204494355432906e-01 1.277014370048205167e-04 7.319227757857328577e-06 3.300312417127893422e-07
3.300000000000000155e-02 9.033697383125053548e+00 -3.000000000000000000e+00 1.930760701526923750e-01 1.941915257706610665e-01 1.272113734887221127e-04 6.881273554918056736e-06 2.909609401091840040e-07
3.400000000000000244e-02 9.307445788674298726e+00 -3.000000000000000000e+00 1.933659387653458295e-01 1.944826654039711056e-01 1.340043179095613466e-04 6.435337911203842732e-06 2.863974996075447613e-07
3.500000000000000333e-02 9.581194194223542127e+00 -3.000000000000000000e+00 1.936140034923551356e-01 1.947318168877603395e-01 1.405206350173727136e-04 6.028103266148412589e-06 2.742589097197789873e-07
3.599999999999999728e-02 9.854942599772783751e+00 -3.000000000000000000e+00 1.938575423661263453e-01 1.949764218319965103e-01 1.456219005333304081e-04 5.673805869683304660e-06 2.410200626831198265e-07
3.699999999999999817e-02 1.012869100532203070e+01 -3.000000000000000000e+00 1.940996758755215990e-01 1.952196144690270807e-01 1.224255364751680622e-04 5.343911876325681708e-06 2.431150742284868139e-07
3.799999999999999906e-02 1.040243941087127411e+01 -3.000000000000000000e+00 1.943528717041667908e-01 1.954739168496184842e-01 1.311163464428039926e-04 5.003679906756442567e-06 2.162339337441169860e-07
3.899999999999999994e-02 1.067618781642051751e+01 -3.000000000000000000e+00 1.945824894427091445e-01 1.957045373101518881e-01 1.325659574345776262e-04 4.721469481069647458e-06 2.032842521095384033e-07
4.000000000000000083e-02 1.094993622196976091e+01 -3.000000000000000000e+00 1.948025257821951461e-01 1.959255338130407031e-01 1.370139033961904397e-04 4.433398668563571273e-06 2.123286641605288044e-07
5.000000000000000104e-03 1.368742027746220113e+00 -2.500000000000000000e+00 1.863991782341096748e-01 1.874850220494273800e-01 1.520573213626422648e-04 1.764216989490487956e-04 6.626740670728685452e-06
6.000000000000000125e-03 1.642490433295464181e+00 -2.500000000000000000e+00 1.890264985451689805e-01 1.901240709630468428e-01 1.400286507059843701e-04 1.321172467668825447e-04 4.732267969699075509e-06
7.000000000000000146e-03 1.916238838844708470e+00 -2.500000000000000000e+00 1.910685639774872546e-01 1.921751837593771162e-01 1.461570230959423713e-04 1.036777704342651624e-04 3.969016796975916606e-06
8.000000000000000167e-03 2.189987244393952537e+00 -2.500000000000000000e+00 1.927186427371336275e-01 1.938325294000222687e-01 1.388862909123129681e-04 8.461095704487549642e-05 3.270544359539548492e-06
8.999999999999999320e-03 2.463735649943195938e+00 -2.500000000000000000e+00 1.940991429656271916e-01 1.952190791904376554e-01 1.428841112962443791e-04 7.041066617058906805e-05 2.795467283567544019e-06
1.000000000000000021e-02 2.737484055492440227e+00 -2.500000000000000000e+00 1.952927071170812989e-01 1.964178516594018431e-01 1.307604446830136393e-04 5.979011931948215977e-05 2.147885670110522250e-06
1.099999999999999936e-02 3.011232461041684072e+00 -2.500000000000000000e+00 1.963302664958787580e-01 1.974599219138416240e-01 1.422416784802640324e-04 5.166746136493688749e-05 2.062771671178997346e-06
1.200000000000000025e-02 3.284980866590928361e+00 -2.500000000000000000e+00 1.972668319938143122e-01 1.984005459212637712e-01 1.482482211727513045e-04 4.516770868546407541e-05 1.929232510736872154e-06
1.299999999999999940e-02 3.558729272140172206e+00 -2.500000000000000000e+00 1.980980457000501016e-01 1.992353510711313835e-01 1.385759318243679589e-04 3.991502119436929818e-05 1.633190657167943528e-06
1.400000000000000029e-02 3.832477677689416939e+00 -2.500000000000000000e+00 1.988685548911787171e-01 2.000091805280962420e-01 1.377040642295645058e-04 3.549611778823929978e-05 1.427233974308778521e-06
1.499999999999999944e-02 4.106226083238660785e+00 -2.500000000000000000e+00 1.995615348368218189e-01 2.007051393546681606e-01 1.394996813103618742e-04 3.182134513726596781e-05 1.301357384225307522e-06
1.600000000000000033e-02 4.379974488787905074e+00 -2.500000000000000000e+00 2.002184450381181424e-01 2.013648670168030341e-01 1.376177836533158032e-04 2.865850353757024433e-05 1.109506007540862944e-06
1.700000000000000122e-02 4.653722894337149363e+00 -2.500000000000000000e+00 2.008174489155113152e-01 2.019664345931891647e-01 1.332849912977578078e-04 2.603815217103171994e-05 9.995639726213555180e-07
1.799999999999999864e-02 4.927471299886391876e+00 -2.500000000000000000e+00 2.013673828376774111e-01 2.025187176411998025e-01 1.365598528763353834e-04 2.378310746033301327e-05 9.678096178842563617e-07
